id,title,url,score,extraction_date
47427208,CVE-2026-3888: Important Snap Flaw Enables Local Privilege Escalation to Root,https://blog.qualys.com/vulnerabilities-threat-research/2026/03/17/cve-2026-3888-important-snap-flaw-enables-local-privilege-escalation-to-root,37,2026-03-19 01:26:29
47426932,Death to Scroll Fade,https://dbushell.com/2026/01/09/death-to-scroll-fade/,285,2026-03-19 01:26:28
47427027,Nvidia NemoClaw,https://github.com/NVIDIA/NemoClaw,150,2026-03-19 01:26:27
47426057,"Federal Cyber Experts Called Microsoft's Cloud ""A Pile of Shit"", yet Approved It",https://www.propublica.org/article/microsoft-cloud-fedramp-cybersecurity-government,380,2026-03-19 01:26:25
47422942,Nightingale – open-source karaoke app that works with any song on your computer,https://nightingale.cafe/,423,2026-03-19 01:26:24
47385260,Samsung Galaxy S26 Ultra Review: The Privacy Screen,https://www.wired.com/review/samsung-galaxy-s26-ultra/,11,2026-03-19 01:26:23
47428541,AI coding is gambling,https://notes.visaint.space/ai-coding-is-gambling/,218,2026-03-19 01:26:21
47380714,Book: The Emerging Science of Machine Learning Benchmarks,https://mlbenchmarks.org/00-preface.html,19,2026-03-19 01:26:20
47429988,Show HN: Playing LongTurn FreeCiv with Friends,https://github.com/ndroo/freeciv.andrewmcgrath.info,18,2026-03-19 01:26:19
47423694,2025 Turing award given for quantum information science,https://awards.acm.org/about/2025-turing,53,2026-03-19 01:26:18
47422759,"Wander – A tiny, decentralised tool to explore the small web",https://susam.net/wander/,52,2026-03-19 01:26:16
47378781,"Show HN: Hacker News archive (47M+ items, 11.6GB) as Parquet, updated every 5m",https://huggingface.co/datasets/open-index/hacker-news,171,2026-03-19 01:26:15
47423647,Rob Pike's Rules of Programming (1989),https://www.cs.unc.edu/~stotts/COMP590-059-f24/robsrules.html,719,2026-03-19 01:26:14
47386703,OpenRocket,https://openrocket.info/,192,2026-03-19 01:26:13
47395786,I reverse-engineered the TiinyAI Pocket Lab from marketing photos,https://bay41.com/posts/tiiny-ai-pocket-lab-review/,8,2026-03-18 20:54:10
